SOS_VoterID,firstname,lastname,streetnumber,streetname,address,city,county,precinct_raw,party,sex,age,subdivision
7005758,Emma,Okafor,4545,Juniper St,4545 Juniper St,Lakeside,Southfield,015,DEM,M,55,
7003258,Yuki,Nguyen,7348,Dogwood Dr,7348 Dogwood Dr,LAKESIDE,Northgate,10,NPA,M,35,STONEBRIAR SEC 7 (CPL)
7007413,Priya,Wilson,4387,Cypress Dr,4387 Cypress Dr,LAKESIDE,Northgate,20,U,F,24,STONEBRIAR SECTION 4
7006220,Jennifer,Davis,7152,Cypress Dr,7152 Cypress Dr,LAKESIDE,Southfield,015,LIB,M,29,OAK HOLLOW UNIT 5
7009799,David,Ali,5091,Juniper St,5091 Juniper St,LAKESIDE,Northgate,110,Independent,M,32,WILLOW CREEK PH 3
7003326,James,Park,1946,Dogwood Blvd,1946 Dogwood Blvd, LAKESIDE ,Northgate,45,NPA,M,27,STONEBRIAR SEC 7 (CPL)
7002636,Patricia,Rossi,7007,Juniper Dr,7007 Juniper Dr,Lakeside,Southfield,030,NPA,M,47,
7007017,James,Nguyen,7227,Willow St,7227 Willow St,LAKESIDE,Southfield,210,U,,79,STONEBRIAR SEC 7 (CPL)
7006650,Carlos,Hernandez,875,Cypress Blvd,875 Cypress Blvd,Lakeside,Southfield,030,GRN,,58,PRESTON RIDGE SECTION 2
7002116,Jennifer,Lee,4495,Oak Dr,4495 Oak Dr,LAKESIDE,Northgate,45,REP,F,76,STONEBRIAR SEC 7 (CPL)
7006628,Linda,Smith,2499,Cedar Trl,2499 Cedar Trl,lakeside,Southfield,030,IND,F,71,PRESTON RIDGE SECTION 2
7008848,Noah,Lee,3703,Magnolia Trl,3703 Magnolia Trl,PINEHURST,Southfield,130,Independent,F,19,STONEBRIAR
7001742,Mateo,Wang,6331,Sycamore St,6331 Sycamore St,RIVERTON,Northgate,45,GRN,,42,HARBOR LANDING
7008124,Mary,Anderson,6352,Cypress St,6352 Cypress St,PINEHURST,Southfield,030,DEM,U,62,RIVERWALK
7004913,Noah,Okafor,3826,Aspen Trl,3826 Aspen Trl,LAKESIDE,Southfield,130,DEM,F,84,
7000687,Carlos,Brown,212,Maple Blvd,212 Maple Blvd,LAKESIDE,Northgate,253,,U,24,RIVERWALK PH 1
7001086,Mary,Nguyen,8953,Aspen Way,8953 Aspen Way,Lakeside,Northgate,253,REP,M,87,PRESTON RIDGE SECTION 2
7002892,Ama,Smith,3487,Sycamore Blvd,3487 Sycamore Blvd,LAKESIDE,Northgate,10,U,M,91,WILLOW CREEK PH 3
7003691,Kofi,Martinez,1074,Sycamore Ln,1074 Sycamore Ln,LAKESIDE,Southfield,210,IND,M,23,PRESTON RIDGE SECTION 2
7001350,Elizabeth,Khan,298,Oak Ln,298 Oak Ln, LAKESIDE ,Southfield,015,GRN,U,54,
7002186,Emma,Johnson,7044,Sycamore Dr,7044 Sycamore Dr,PINEHURST,Northgate,110,DEM,U,63,WILLOW CREEK
7001485,Jose,Lee,2557,Elm Dr,2557 Elm Dr,LAKESIDE,Southfield,210,REP,F,61,RIVERWALK
7009888,Carlos,Wilson,3742,Aspen Blvd,3742 Aspen Blvd,LAKESIDE,Southfield,015,REP,F,65,MEADOWS PHASE ONE
7003316,Carlos,Rodriguez,6068,Cedar Ct,6068 Cedar Ct,lakeside,Northgate,110,DEM,M,77,OAK HOLLOW UNIT 3
7006212,David,Garcia,4953,Cedar Way,4953 Cedar Way,LAKESIDE,Southfield,210,DEM,F,80,PRESTON RIDGE SECTION 2
7008484,Jennifer,Rodriguez,6227,Cedar Trl,6227 Cedar Trl,LAKESIDE,Northgate,253,IND,M,26,STONEBRIAR SECTION 4
7004363,Priya,Patel,8946,Magnolia Blvd,8946 Magnolia Blvd,LAKESIDE,Northgate,110,REP,F,150,
7007377,Fatima,Garcia,8043,Birch St,8043 Birch St,LAKESIDE,Southfield,210,GRN,U,44,WILLOW CREEK
7006875,Elizabeth,Rodriguez,7430,Cedar Ct,7430 Cedar Ct,LAKESIDE,Northgate,20,U,F,35,STONEBRIAR
7005286,Jennifer,Martinez,7849,Cedar Dr,7849 Cedar Dr,Lakeside,Southfield,015,REP,M,37,STONEBRIAR SECTION 4
7001976,Mary,Thomas,8600,Aspen St,8600 Aspen St,lakeside,Southfield,075,DEM,U,63,STONEBRIAR SEC 7 (CPL)
7002325,David,Johnson,6256,Birch Ln,6256 Birch Ln,LAKESIDE,Northgate,20,GRN,F,76,WILLOW CREEK PH 3
7001121,Priya,Ali,2291,Cedar St,2291 Cedar St, LAKESIDE ,Northgate,253,REP,M,34,OAK HOLLOW UNIT 3
7001301,Noah,Cohen,7484,Willow Blvd,7484 Willow Blvd,lakeside,Southfield,210,REP,M,89,HARBOR LANDING (CFR)
7009107,Noah,Brown,2867,Dogwood Trl,2867 Dogwood Trl,OAKDALE,Northgate,220,Independent,,75,OAK HOLLOW UNIT 3
7005935,David,Khan,3134,Dogwood Trl,3134 Dogwood Trl,lakeside,Southfield,210,NPA,M,74,OAK HOLLOW UNIT 5
7006383,Mary,Park,6653,Magnolia Dr,6653 Magnolia Dr,LAKESIDE,Northgate,253,REP,U,32,RIVERWALK
7003773,Patricia,Garcia,919,Aspen Way,919 Aspen Way,RIVERTON,Northgate,10,IND,,38,STONEBRIAR SEC 7 (CPL)
7007974,Elizabeth,Brown,295,Birch Trl,295 Birch Trl, LAKESIDE ,Northgate,45,,F,77,OAK HOLLOW UNIT 3
7008674,Mateo,Khan,2138,Aspen Ln,2138 Aspen Ln,LAKESIDE,Northgate,110,REP,U,31,
7008693,Liam,Hernandez,7772,Hawthorn Way,7772 Hawthorn Way,LAKESIDE,Southfield,030,REP,U,39,
7001439,Kofi,Garcia,790,Pine Blvd,790 Pine Blvd,RIVERTON,Northgate,45,REP,M,19,AUTUMN GROVE PHASE FOUR
7008396,Fatima,Nguyen,2545,Cypress Ln,2545 Cypress Ln,LAKESIDE,Northgate,20,DEM,F,28,PRESTON RIDGE SECTION 2
7004476,Mei,Wilson,9919,Hawthorn Ct,9919 Hawthorn Ct,lakeside,Southfield,130,REP,F,61,RIVERWALK PH 1
7003694,Noah,Lee,1104,Magnolia Dr,1104 Magnolia Dr, LAKESIDE ,Northgate,30,DEM,F,73,OAK HOLLOW UNIT 5
7006273,Maria,Wang,7015,Juniper Way,7015 Juniper Way,LAKESIDE,Northgate,30,DEM,,90,RIVERWALK PH 1
7006554,Mary,Cohen,7157,Dogwood St,7157 Dogwood St, LAKESIDE ,Northgate,220,,M,51,STONEBRIAR SECTION 4
7005294,Maria,Johnson,8773,Dogwood St,8773 Dogwood St,LAKESIDE,Northgate,30,DEM,F,32,
7005892,John,Rossi,6969,Sycamore Trl,6969 Sycamore Trl,LAKESIDE,Northgate,30,LIB,M,24,STONEBRIAR SEC 7 (CPL)
7003122,Fatima,Garcia,6168,Juniper Blvd,6168 Juniper Blvd,LAKESIDE,Southfield,130,,,34,
